Revenue,Childrens Services,5105638196,27.11.2013,Children in Care Team,Agency staff,"1,665.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105632344,27.11.2013,Children In Need 1,Agency staff,600.00,CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105633591,27.11.2013,Children In Need 1,Agency staff,"1,480.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105633565,20.11.2013,Children In Need 1,Agency staff,"1,480.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105637141,20.11.2013,Children In Need 1,Agency staff,"1,480.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105638257,27.11.2013,Children In Need 1,Agency staff,"1,300.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105638443,27.11.2013,Children In Need 1,Agency staff,"1,480.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105635211,06.11.2013,Children In Need 1,Agency staff,"1,480.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105637093,15.11.2013,Service Manager - Safeguarding,Agency staff,"3,600.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105635214,06.11.2013,Duty and Assessment 2,Agency staff,"1,443.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105635214,06.11.2013,Duty and Assessment 2,Agency staff,38.40,CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105636082,13.11.2013,Duty and Assessment 2,Agency staff,"1,911.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105636083,13.11.2013,Duty and Assessment 2,Agency staff,"1,462.50",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105636083,13.11.2013,Duty and Assessment 2,Agency staff,66.15,CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105637094,15.11.2013,Duty and Assessment 2,Agency staff,"1,462.50",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105633589,01.11.2013,Duty and Assessment 2,Agency staff,"1,443.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105634145,06.11.2013,Duty and Assessment 2,Agency staff,"1,890.00",CARITAS RECRUITMENT LIMITED
Revenue,Childrens Services,5105634162,06.11.2013,Duty and Assessment 2,Agency staff,"1,462.50",CARITAS RECRUITMENT LIMITED
Capital,Childrens Services,5105634162,06.11.2013,Duty and Assessment 2,Agency staff,22.95,CARITAS RECRUITMENT LIMITED
Capital,Childrens Services,5105636912,15.11.2013,Duty and Assessment 2,Agency staff,"1,443.00",CARITAS RECRUITMENT LIMITED
Revenue,Community Wellbeing & Social Care,5105639146,29.11.2013,Dinosaur Isle Museum (Sandown Geology),Stock Purchases,140.16,CASA GRANDE LIMITED
Revenue,Childrens Services,5105635647,08.11.2013,Clatterford Pupil Referral Unit (PRU),Training,350.00,CATCH UP
Revenue,Community Wellbeing & Social Care,5105638261,27.11.2013,STI Tests & Treatment,Payments to Health Authorities,330.22,CENTRAL & NORTH WEST LONDON
Revenue,Community Wellbeing & Social Care,5105630270,29.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,988.06",CENTRAL BEDFORDSHIRE COUNCIL
Revenue,Community Wellbeing & Social Care,5105625221,29.11.2013,Mental Health Residential Care,Charges from Independent Providers,158.60,CENTRAL BEDFORDSHIRE COUNCIL
Revenue,Community Wellbeing & Social Care,5105625221,29.11.2013,Mental Health Residential Care,Charges from Independent Providers,"2,054.33",CENTRAL BEDFORDSHIRE COUNCIL
Revenue,Economy & Environment,5105637070,27.11.2013,Fire Technical Support,Vehicle Maintenance Costs,"2,624.00",CENTRAL COMPRESSOR CONSULTANTS LTD
Revenue,Economy & Environment,5105635134,22.11.2013,Diversity & Workforce,Training,598.00,CFOA NATIONAL RESILIENCE LTD
Revenue,Childrens Services,5105638266,27.11.2013,Clatterford Pupil Referral Unit (PRU),Professional Services,800.00,CHALLENGE & ADVENTURE LTD
Revenue,Economy & Environment,5105637504,20.11.2013,Deputy Chief Fire Office,Property Services - Day to day maintenance,58.00,CHANT LOCK & SECURITY SERVICE
Revenue,Economy & Environment,5105637078,15.11.2013,Public Conveniences - General,Property Services - Planned Maintenance,13.50,CHANT LOCK & SECURITY SERVICE
Revenue,Community Wellbeing & Social Care,5105637077,15.11.2013,Ryde Library,Property Services - Day to day maintenance,64.00,CHANT LOCK & SECURITY SERVICE
Revenue,Community Wellbeing & Social Care,5105636122,13.11.2013,Gouldings Resource Centre,Furniture and Fittings,14.00,CHANT LOCK & SECURITY SERVICE
Revenue,Childrens Services,5105639091,29.11.2013,Clatterford Pupil Referral Unit (PRU),General Educational Materials,14.00,CHANT LOCK & SECURITY SERVICE
Revenue,Economy & Environment,5105637503,20.11.2013,Osborne Middle School - Astroturf Mgmt,Delegated Minor Maintenance,127.09,CHANT LOCK & SECURITY SERVICE
Revenue,Community Wellbeing & Social Care,5105639089,29.11.2013,Newport Library,Property Services - Day to day maintenance,128.00,CHANT LOCK & SECURITY SERVICE
Revenue,Economy & Environment,5105636123,13.11.2013,Community Safety,Security of Buildings,23.36,CHANT LOCK & SECURITY SERVICE
Revenue,Childrens Services,5105635623,08.11.2013,Youth- Ventnor,Security of Buildings,163.52,CHANT LOCK & SECURITY SERVICE
Revenue,Resources,5105639088,29.11.2013,Administrative Buildings,Property Services - Day to day maintenance,57.00,CHANT LOCK & SECURITY SERVICE
Revenue,Economy & Environment,5105636348,13.11.2013,Ryde Depot,Operational Equipment,40.00,CHANT LOCK & SECURITY SERVICE
Revenue,Economy & Environment,5105638318,27.11.2013,Ryde Depot,Operational Equipment,218.76,CHANT LOCK & SECURITY SERVICE
Revenue,Childrens Services,5105635622,08.11.2013,Carisbrooke Contact Centre,Minor Works,15.70,CHANT LOCK & SECURITY SERVICE
Revenue,Childrens Services,5105636303,13.11.2013,Youth Offending Team,Property Services - Day to day maintenance,78.00,CHANT LOCK & SECURITY SERVICE
Revenue,Resources,5105639064,29.11.2013,Capital Receipts,Capital Contractor Payments,73.12,CHANT LOCK & SECURITY SERVICE
Revenue,Resources,5105637502,20.11.2013,Administrative Buildings,Property Services - Day to day maintenance,36.00,CHANT LOCK & SECURITY SERVICE
Revenue,Community Wellbeing & Social Care,5105634181,06.11.2013,Gouldings Resource Centre,Catering Purchases,458.40,CHAPEL NURSERIES
Revenue,Community Wellbeing & Social Care,5105634099,01.11.2013,Saxonbury,Catering Purchases,16.90,CHAPEL NURSERIES
Revenue,Community Wellbeing & Social Care,5105637406,20.11.2013,Saxonbury,Catering Purchases,41.50,CHAPEL NURSERIES
Revenue,Community Wellbeing & Social Care,5105638251,27.11.2013,Saxonbury,Catering Purchases,34.40,CHAPEL NURSERIES
Revenue,Community Wellbeing & Social Care,5105636101,13.11.2013,Plean Dene,Catering Purchases,35.70,CHAPEL NURSERIES
Revenue,Childrens Services,5105637115,20.11.2013,School Music Service,Licences,390.00,CHARANGA LTD
Revenue,Resources,5105638128,22.11.2013,Staff Benefits,Payment to Private Contractors,243.00,CHARLOTTE'S CHILDMINDING SERVICES
Revenue,Resources,5105638129,22.11.2013,Staff Benefits,Payment to Private Contractors,243.00,CHARLOTTE'S CHILDMINDING SERVICES
Revenue,Resources,5105638127,22.11.2013,Staff Benefits,Payment to Private Contractors,243.00,CHARLOTTE'S CHILDMINDING SERVICES
Revenue,Economy & Environment,5105634195,06.11.2013,The Heights,Operational Equipment,40.00,CHARTERED INSTITUTE FOR MANAGEMENT
Revenue,Economy & Environment,5105634195,06.11.2013,The Heights,Operational Equipment,36.00,CHARTERED INSTITUTE FOR MANAGEMENT
Revenue,Economy & Environment,5105634195,06.11.2013,The Heights,Operational Equipment,36.00,CHARTERED INSTITUTE FOR MANAGEMENT
Revenue,Community Wellbeing & Social Care,5105636370,15.11.2013,"Options,Prevention & Register Team",Training,990.00,CHARTERED INSTITUTE OF HOUSING
Revenue,Childrens Services,5105637456,20.11.2013,Clatterford Pupil Referral Unit (PRU),School Catering Contract,200.00,CHARTWELLS
Revenue,Childrens Services,5105637456,20.11.2013,Thompson House Tuition Centre (PRU),School Catering Contract,152.00,CHARTWELLS
Revenue,Resources,5105638052,22.11.2013,Staff Benefits,Payment to Private Contractors,243.00,CHATTERBOX  NURSERY LTD
Revenue,Resources,5105638053,22.11.2013,Staff Benefits,Payment to Private Contractors,185.50,CHATTERBOX  NURSERY LTD
Revenue,Resources,5105638050,22.11.2013,Staff Benefits,Payment to Private Contractors,125.00,CHATTERBOX  NURSERY LTD
Revenue,Resources,5105638049,22.11.2013,Staff Benefits,Payment to Private Contractors,236.00,CHATTERBOX  NURSERY LTD
Revenue,Resources,5105638051,22.11.2013,Staff Benefits,Payment to Private Contractors,243.00,CHATTERBOX  NURSERY LTD
Revenue,Community Wellbeing & Social Care,5105638308,27.11.2013,Dinosaur Isle Museum (Sandown Geology),Stock Purchases,545.01,CHEATWELL GAMES
Revenue,Resources,5105638094,22.11.2013,Staff Benefits,Payment to Private Contractors,50.00,CHEEKY CHIMPS
Revenue,Resources,5105638095,22.11.2013,Staff Benefits,Payment to Private Contractors,160.00,CHEEKY CHIMPS
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,622.60",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105637001,20.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"6,490.40",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",CHERRY TREES I.W. LTD
Revenue,Community Wellbeing & Social Care,5105634258,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",CHERRY TREES I.W. LTD
Revenue,Resources,5105637993,22.11.2013,Staff Benefits,Payment to Private Contractors,185.00,CHILLERTON & ROOKLEY CP SCHOOL
Revenue,Resources,5105637995,22.11.2013,Staff Benefits,Payment to Private Contractors,65.00,CHILLERTON & ROOKLEY CP SCHOOL
Revenue,Resources,5105637994,22.11.2013,Staff Benefits,Payment to Private Contractors,27.00,CHILLERTON & ROOKLEY CP SCHOOL
Revenue,Community Wellbeing & Social Care,5105636084,13.11.2013,Cowes Library,Publications,189.20,CHIVERTONS OF COWES
Revenue,Community Wellbeing & Social Care,5105634245,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"2,898.00",CHOICE SUPPORT
Revenue,Community Wellbeing & Social Care,5105634245,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"2,898.00",CHOICE SUPPORT
Revenue,Resources,5105636672,15.11.2013,Business Management,Training,100.00,CIPFA
Revenue,Resources,5105636682,15.11.2013,Business Management,Training,100.00,CIPFA
Revenue,Resources,5105636682,15.11.2013,Business Management,Training,50.00,CIPFA
Revenue,Resources,5105636682,15.11.2013,Business Management,Training,40.00,CIPFA
Revenue,Resources,5105635624,08.11.2013,Financial Management Overheads,Publications,340.00,CIPFA
Revenue,Community Wellbeing & Social Care,5105635149,22.11.2013,Independent Sector Training,Training,"4,750.00",CIS ASSESSMENT.CO.UK
Revenue,Community Wellbeing & Social Care,5105637531,20.11.2013,Core Programmes,Training,90.00,CITY AND GUILDS
Revenue,Community Wellbeing & Social Care,5105637530,20.11.2013,Adult Skills,Licences,40.50,CITY AND GUILDS
Revenue,Resources,5105638977,29.11.2013,ICT Contracts,Computer Maintenance,"1,125.00",CIVICA SERVICES LTD
Revenue,Resources,5105636372,28.11.2013,ICT Contracts,Computer Maintenance,"4,350.00",CIVICA SERVICES LTD
Revenue,Resources,5105636372,28.11.2013,ICT Contracts,Computer Maintenance,"1,125.00",CIVICA SERVICES LTD
Revenue,Resources,5105636376,29.11.2013,ICT Contracts,Computer Maintenance,"1,836.00",CIVICA SERVICES LTD
Revenue,Resources,5105636376,29.11.2013,ICT Contracts,Computer Maintenance,"1,836.00",CIVICA SERVICES LTD
Revenue,Resources,5105636376,29.11.2013,ICT Contracts,Computer Maintenance,"1,836.00",CIVICA SERVICES LTD
Revenue,Resources,5105636376,29.11.2013,ICT Contracts,Computer Maintenance,152.00,CIVICA SERVICES LTD
Revenue,Resources,5105638977,29.11.2013,ICT Contracts,Computer Maintenance,"4,350.00",CIVICA SERVICES LTD
Revenue,Resources,5105638974,28.11.2013,ICT Contracts,Computer Maintenance,"-4,350.00",CIVICA SERVICES LTD
Revenue,Resources,5105638974,28.11.2013,ICT Contracts,Computer Maintenance,"-1,125.00",CIVICA SERVICES LTD
Revenue,Resources,5105638639,27.11.2013,Identity Management,ICT Hardware & Software - Capital,"3,750.00",CIVICA SERVICES LTD
Revenue,Childrens Services,5105638663,29.11.2013,Special Guardianship Order Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635251,06.11.2013,Special Guardianship Order Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637636,22.11.2013,Special Guardianship Order Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105636689,15.11.2013,Special Guardianship Order Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105638419,27.11.2013,Fire Technical Support,Vehicle Maintenance Costs,44.00,CLAN TOOLS AND PLANT LTD
Revenue,Economy & Environment,5105638419,27.11.2013,Fire Technical Support,Vehicle Maintenance Costs,153.00,CLAN TOOLS AND PLANT LTD
Revenue,Economy & Environment,5105638419,27.11.2013,Fire Technical Support,Vehicle Maintenance Costs,33.00,CLAN TOOLS AND PLANT LTD
Revenue,Economy & Environment,5105638419,27.11.2013,Fire Technical Support,Maintenance of Operational Equipment,"1,260.00",CLAN TOOLS AND PLANT LTD
Revenue,Economy & Environment,5105637143,20.11.2013,Fire Technical Support,Vehicle Maintenance Costs,33.00,CLAN TOOLS AND PLANT LTD
Revenue,Economy & Environment,5105637143,20.11.2013,Fire Technical Support,Vehicle Maintenance Costs,55.00,CLAN TOOLS AND PLANT LTD
Revenue,Childrens Services,5105636344,13.11.2013,Special Educational Needs Transport,Taxis - Contract Hire,975.00,CLARES CABS
Revenue,Economy & Environment,5105637446,20.11.2013,Strategic Assets Team,Legal Fees - Other Parties,799.00,CLARKE WILLMOTT LLP
Revenue,Resources,5105637505,20.11.2013,Litigation Costs,Legal Fees - Other Parties,650.00,CLARKE WILLMOTT LLP
Revenue,Resources,5105638292,27.11.2013,Litigation Costs,Legal Fees - Other Parties,140.00,CLARKE WILLMOTT LLP
Revenue,Resources,5105638293,27.11.2013,Litigation Costs,Legal Fees - Other Parties,308.00,CLARKE WILLMOTT LLP
Revenue,Childrens Services,5105638197,27.11.2013,Childrens Centres Maintenance,Minor Works,120.00,CLARKES MECHANICAL LTD
Revenue,Community Wellbeing & Social Care,5105637957,22.11.2013,One School Pathfinder,"Plant, Equipment & Furniture - Capital","11,955.00",CLEAN AIR LTD
Revenue,Economy & Environment,5105637508,20.11.2013,ROW Capital Programme,Capital Contractor Payments,"1,850.00",CLIFFORD J. MATTHEWS LTD
Revenue,Resources,5105638074,22.11.2013,Staff Benefits,Payment to Private Contractors,11.00,CLUB COOL
Revenue,Community Wellbeing & Social Care,5105634841,06.11.2013,Elderly Mentally Ill Nursing Mainland,Charges from Independent Providers,"2,165.52",COLBURY CARE LTD
Revenue,Economy & Environment,5105637369,22.11.2013,Fire Technical Support,Vehicle Maintenance Costs,294.98,COLD CUT SYSTEMS
Revenue,Community Wellbeing & Social Care,5105638518,29.11.2013,Archives,Property Services - Day to day maintenance,89.88,COLD SERVICE LTD
Revenue,Resources,5105637917,29.11.2013,Management of Asbestos,Capital Contractor Payments,"3,396.00",COLD SERVICE LTD
Revenue,Economy & Environment,5105639137,29.11.2013,Fire Technical Support,Maintenance of Operational Equipment,312.00,COLLINS NETS LTD
Revenue,Economy & Environment,5105634088,01.11.2013,Fire Technical Support,Maintenance of Operational Equipment,50.00,COLLINS NETS LTD
Revenue,Economy & Environment,5105634088,01.11.2013,Fire Technical Support,Maintenance of Operational Equipment,22.00,COLLINS NETS LTD
Revenue,Economy & Environment,5105636660,15.11.2013,Fire Control,Fire Comms - Radio,"9,001.42",COMMUNITIES AND LOCAL GOVERNMENT
Revenue,Economy & Environment,5105638630,27.11.2013,Medina Leisure Centre,Maintenance of Operational Equipment,405.15,COMPLETE POOL CONTROLS LTD
Revenue,Community Wellbeing & Social Care,5105636380,13.11.2013,Ryde Library,Building & Room Rental,5.50,COMPTON GROUP
Revenue,Community Wellbeing & Social Care,5105636380,13.11.2013,Ryde Library,Building & Room Rental,6.40,COMPTON GROUP
Revenue,Childrens Services,5105636233,13.11.2013,Court Work & Consultancy Services,Legal Fees - Other Parties,180.00,CONCATENO TRICHOTECH
Revenue,Childrens Services,5105636232,13.11.2013,Court Work & Consultancy Services,Legal Fees - Other Parties,292.50,CONCATENO TRICHOTECH
Revenue,Childrens Services,5105636230,13.11.2013,Court Work & Consultancy Services,Legal Fees - Other Parties,161.67,CONCATENO TRICHOTECH
Revenue,Childrens Services,5105636229,13.11.2013,Court Work & Consultancy Services,Legal Fees - Other Parties,180.00,CONCATENO TRICHOTECH
Revenue,Childrens Services,5105636227,13.11.2013,Court Work & Consultancy Services,Legal Fees - Other Parties,180.00,CONCATENO TRICHOTECH
Revenue,Childrens Services,5105636946,15.11.2013,Youth- Central Administration,Training,242.50,CONFEDREATION OF HEADS OF YOUNG PEOPLES SERVICES
Revenue,Resources,5105637089,15.11.2013,Coroner,Transport of Clients,240.00,CO-OPERATIVE FUNERALCARE LTD
Revenue,Resources,5105637088,15.11.2013,Coroner,Transport of Clients,80.00,CO-OPERATIVE FUNERALCARE LTD
Revenue,Childrens Services,5105635669,08.11.2013,Purchased Residential,Charges from Independent Providers,"3,315.00",CORE ASSETS CHILDRENS SERVICES LTD
Revenue,Childrens Services,5105638482,27.11.2013,Purchased Fostering,Charges from Independent Providers,"3,129.90",CORE ASSETS FOSTERING LTD
Revenue,Childrens Services,5105638481,27.11.2013,Purchased Fostering,Charges from Independent Providers,"4,767.60",CORE ASSETS FOSTERING LTD
Revenue,Childrens Services,5105638480,27.11.2013,Purchased Fostering,Charges from Independent Providers,"1,773.61",CORE ASSETS FOSTERING LTD
Revenue,Childrens Services,5105638477,27.11.2013,Purchased Fostering,Charges from Independent Providers,"2,701.64",CORE ASSETS FOSTERING LTD
Revenue,Childrens Services,5105636085,13.11.2013,Purchased Fostering,Charges from Independent Providers,"3,658.00",CORE ASSETS FOSTERING LTD
Revenue,Childrens Services,5105636086,13.11.2013,Purchased Fostering,Charges from Independent Providers,"-3,658.00",CORE ASSETS FOSTERING LTD
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,REDACTED PERSONAL DATA,Order Settlement,"1,998.08",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634307,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",CORNELIA HEIGHTS CARE HOME
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Physical Disability Residential Care,Charges from Independent Providers,"1,622.60",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105637683,22.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,637.45,CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,101.05",CORNELIA MANOR
Revenue,Community Wellbeing & Social Care,5105634305,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",CORNELIA MANOR
Revenue,Childrens Services,5105636606,13.11.2013,Branstone Farm Studies Centre,General Materials,969.00,COUNTRYWIDE FARMERS PLC
Revenue,Childrens Services,5105629918,20.11.2013,Branstone Farm Studies Centre,General Materials,204.25,COUNTRYWIDE FARMERS PLC
Revenue,Childrens Services,5105629918,20.11.2013,Branstone Farm Studies Centre,General Materials,367.50,COUNTRYWIDE FARMERS PLC
Revenue,Childrens Services,5105629918,20.11.2013,Branstone Farm Studies Centre,General Materials,729.00,COUNTRYWIDE FARMERS PLC
Revenue,Economy & Environment,5105636988,15.11.2013,Coastal Capital Schemes,Capital Contractor Payments,497.00,COUNTY FENCING SUPPLIES
Revenue,Economy & Environment,5105637509,20.11.2013,Rights of Way Operations,General Materials,78.70,COUNTY FENCING SUPPLIES
Revenue,Economy & Environment,5105636625,13.11.2013,Medina Theatre,Payment to Private Contractors,21.41,COWES EXPRESS COURIERS LTD
Revenue,Economy & Environment,5105636625,13.11.2013,Medina Theatre,Payment to Private Contractors,21.41,COWES EXPRESS COURIERS LTD
Revenue,Economy & Environment,5105636625,13.11.2013,Medina Theatre,Payment to Private Contractors,22.59,COWES EXPRESS COURIERS LTD
Revenue,Economy & Environment,5105636625,13.11.2013,Medina Theatre,Payment to Private Contractors,45.00,COWES EXPRESS COURIERS LTD
Revenue,Economy & Environment,5105636625,13.11.2013,Medina Theatre,Payment to Private Contractors,32.95,COWES EXPRESS COURIERS LTD
Revenue,Economy & Environment,5105636625,13.11.2013,Medina Theatre,Payment to Private Contractors,37.80,COWES EXPRESS COURIERS LTD
Revenue,Economy & Environment,5105636625,13.11.2013,IOW Festival of Walking,Courier Costs,310.00,COWES EXPRESS COURIERS LTD
Revenue,Community Wellbeing & Social Care,5105634194,06.11.2013,Integrated Community Equipment Service,Maintenance of Operational Equipment,11.91,CPC
Revenue,Community Wellbeing & Social Care,5105634194,06.11.2013,Integrated Community Equipment Service,Maintenance of Operational Equipment,21.32,CPC
Revenue,Community Wellbeing & Social Care,5105634194,06.11.2013,Integrated Community Equipment Service,Maintenance of Operational Equipment,38.88,CPC
Revenue,Community Wellbeing & Social Care,5105634194,06.11.2013,Integrated Community Equipment Service,Maintenance of Operational Equipment,17.37,CPC
Revenue,Community Wellbeing & Social Care,5105634194,06.11.2013,Integrated Community Equipment Service,Maintenance of Operational Equipment,2.05,CPC
Revenue,Community Wellbeing & Social Care,5105634194,06.11.2013,Integrated Community Equipment Service,Maintenance of Operational Equipment,5.16,CPC
Revenue,Community Wellbeing & Social Care,5105634194,06.11.2013,Integrated Community Equipment Service,Maintenance of Operational Equipment,6.33,CPC
Revenue,Community Wellbeing & Social Care,5105634194,06.11.2013,Integrated Community Equipment Service,Maintenance of Operational Equipment,53.55,CPC
Revenue,Community Wellbeing & Social Care,5105634194,06.11.2013,Integrated Community Equipment Service,Maintenance of Operational Equipment,26.16,CPC
Revenue,Community Wellbeing & Social Care,5105634194,06.11.2013,Integrated Community Equipment Service,Maintenance of Operational Equipment,4.70,CPC
Revenue,Community Wellbeing & Social Care,5105639066,29.11.2013,Integrated Community Equipment Service,General Materials,34.56,CPC
Revenue,Community Wellbeing & Social Care,5105639066,29.11.2013,Integrated Community Equipment Service,General Materials,1.47,CPC
Revenue,Community Wellbeing & Social Care,5105639066,29.11.2013,Integrated Community Equipment Service,General Materials,7.14,CPC
Revenue,Community Wellbeing & Social Care,5105639066,29.11.2013,Integrated Community Equipment Service,General Materials,1.26,CPC
Revenue,Community Wellbeing & Social Care,5105639066,29.11.2013,Integrated Community Equipment Service,General Materials,18.75,CPC
