,Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
2128,Revenue,Economy & Environment,5105636615,13.11.2013,Trading Standards,Professional Services,23.70,EXPERIAN LTD
2129,Revenue,Economy & Environment,5105636664,15.11.2013,Trading Standards,Professional Services,39.20,EXPERIAN LTD
2130,Revenue,Childrens Services,5105636657,15.11.2013,Court Work & Consultancy Services,Legal Fees - Other Parties,84.38,EXPERT ASSOCIATES LTD
2131,Revenue,Community Wellbeing & Social Care,5105637623,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,579.89,REDACTED PERSONAL DATA
2132,Revenue,Childrens Services,5105638275,27.11.2013,Leaving Care Costs,Support Children,54.00,REDACTED PERSONAL DATA
2133,Revenue,Resources,5105636989,15.11.2013,Management of Asbestos,Capital Contractor Payments,"2,460.00",F W MARSH (ELECT & MECH) LTD
2134,Revenue,Economy & Environment,5105636990,15.11.2013,Parks/ Gardens Inspectors,Payment to Private Contractors,143.78,F W MARSH (ELECT & MECH) LTD
2135,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Dementia Residential care,Charges from Independent Providers,"1,699.88",FAIRVIEW CARE HOME LTD
2136,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Mentally Ill Residential Care,Regular Respite Care,"1,699.88",FAIRVIEW CARE HOME LTD
2137,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",FAIRVIEW CARE HOME LTD
2138,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",FAIRVIEW CARE HOME LTD
2139,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",FAIRVIEW CARE HOME LTD
2140,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",FAIRVIEW CARE HOME LTD
2141,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",FAIRVIEW CARE HOME LTD
2142,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",FAIRVIEW CARE HOME LTD
2143,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",FAIRVIEW CARE HOME LTD
2144,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",FAIRVIEW CARE HOME LTD
2145,Revenue,Community Wellbeing & Social Care,5105637006,20.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",FAIRVIEW CARE HOME LTD
2146,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",FAIRVIEW CARE HOME LTD
2147,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",FAIRVIEW CARE HOME LTD
2148,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",FAIRVIEW CARE HOME LTD
2149,Revenue,Community Wellbeing & Social Care,5105634409,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",FAIRVIEW CARE HOME LTD
2150,Revenue,Childrens Services,5105637416,22.11.2013,Purchased Fostering,Charges from Independent Providers,"7,178.00",FAIRWAYS CARE (UK) LTD
2151,Revenue,Childrens Services,5105639041,29.11.2013,Purchased Fostering,Charges from Independent Providers,"7,178.00",FAIRWAYS CARE (UK) LTD
2152,Revenue,Childrens Services,5105633341,20.11.2013,Leaving Care Costs,Charges from Independent Providers,713.55,FAIRWAYS CARE (UK) LTD
2153,Revenue,Childrens Services,5105634137,06.11.2013,Purchased Fostering,Charges from Independent Providers,"8,736.14",FAIRWAYS CARE (UK) LTD
2154,Revenue,Childrens Services,5105634133,06.11.2013,Purchased Residential,Charges from Independent Providers,"10,151.26",FAIRWAYS CARE (UK) LTD
2155,Revenue,Childrens Services,5105634135,06.11.2013,Purchased Residential,Charges from Independent Providers,"11,255.20",FAIRWAYS CARE (UK) LTD
2156,Revenue,Childrens Services,5105634129,06.11.2013,Purchased Residential,Charges from Independent Providers,"4,606.40",FAIRWAYS CARE (UK) LTD
2157,Revenue,Childrens Services,5105634140,06.11.2013,Purchased Residential,Charges from Independent Providers,"7,178.00",FAIRWAYS CARE (UK) LTD
2158,Revenue,Childrens Services,5105639046,29.11.2013,Purchased Residential,Charges from Independent Providers,"7,178.00",FAIRWAYS CARE (UK) LTD
2159,Revenue,Childrens Services,5105639044,29.11.2013,Purchased Residential,Charges from Independent Providers,"11,255.20",FAIRWAYS CARE (UK) LTD
2160,Revenue,Childrens Services,5105639097,29.11.2013,Purchased Residential,Charges from Independent Providers,"11,255.20",FAIRWAYS CARE (UK) LTD
2161,Revenue,Childrens Services,5105637443,22.11.2013,Purchased Residential,Charges from Independent Providers,"4,606.40",FAIRWAYS CARE (UK) LTD
2162,Revenue,Childrens Services,5105637413,22.11.2013,Purchased Residential,Charges from Independent Providers,"11,255.20",FAIRWAYS CARE (UK) LTD
2163,Revenue,Childrens Services,5105637414,22.11.2013,Purchased Residential,Charges from Independent Providers,"7,178.00",FAIRWAYS CARE (UK) LTD
2164,Revenue,Childrens Services,5105637415,22.11.2013,Purchased Residential,Charges from Independent Providers,"2,830.55",FAIRWAYS CARE (UK) LTD
2165,Revenue,Childrens Services,5105638978,29.11.2013,Purchased Residential,Charges from Independent Providers,"4,606.40",FAIRWAYS CARE (UK) LTD
2166,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,REDACTED PERSONAL DATA,Order Settlement,"1,622.60",FALLOWFIELD CARE HOME
2167,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Dementia Residential care,Charges from Independent Providers,"1,998.08",FALLOWFIELD CARE HOME
2168,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",FALLOWFIELD CARE HOME
2169,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",FALLOWFIELD CARE HOME
2170,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",FALLOWFIELD CARE HOME
2171,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",FALLOWFIELD CARE HOME
2172,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",FALLOWFIELD CARE HOME
2173,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",FALLOWFIELD CARE HOME
2174,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",FALLOWFIELD CARE HOME
2175,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",FALLOWFIELD CARE HOME
2176,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",FALLOWFIELD CARE HOME
2177,Revenue,Community Wellbeing & Social Care,5105634283,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",FALLOWFIELD CARE HOME
2178,Revenue,Childrens Services,5105637948,22.11.2013,Purchased Fostering,Charges from Independent Providers,"2,430.12",FAMILIES FOSTERING LTD
2179,Revenue,Childrens Services,5105637950,22.11.2013,Purchased Fostering,Charges from Independent Providers,"2,430.12",FAMILIES FOSTERING LTD
2180,Revenue,Community Wellbeing & Social Care,5105637125,20.11.2013,Westminster House,Catering Purchases,23.83,FARMHOUSE FAYRE (NEWPORT) LIMITED
2181,Revenue,Community Wellbeing & Social Care,5105637946,22.11.2013,Westminster House,Catering Purchases,11.42,FARMHOUSE FAYRE (NEWPORT) LIMITED
2182,Revenue,Community Wellbeing & Social Care,5105638575,27.11.2013,Westminster House,Catering Purchases,36.36,FARMHOUSE FAYRE (NEWPORT) LIMITED
2183,Revenue,Community Wellbeing & Social Care,5105638643,27.11.2013,Westminster House,Catering Purchases,20.22,FARMHOUSE FAYRE (NEWPORT) LIMITED
2184,Revenue,Community Wellbeing & Social Care,5105636666,15.11.2013,Westminster House,Catering Purchases,31.46,FARMHOUSE FAYRE (NEWPORT) LIMITED
2185,Revenue,Community Wellbeing & Social Care,5105637126,20.11.2013,Westminster House,Catering Purchases,8.18,FARMHOUSE FAYRE (NEWPORT) LIMITED
2186,Revenue,Community Wellbeing & Social Care,5105635697,08.11.2013,Westminster House,Catering Purchases,22.20,FARMHOUSE FAYRE (NEWPORT) LIMITED
2187,Revenue,Community Wellbeing & Social Care,5105635712,08.11.2013,Westminster House,Catering Purchases,28.41,FARMHOUSE FAYRE (NEWPORT) LIMITED
2188,Revenue,Community Wellbeing & Social Care,5105635213,06.11.2013,Westminster House,Catering Purchases,14.95,FARMHOUSE FAYRE (NEWPORT) LIMITED
2189,Revenue,Community Wellbeing & Social Care,5105635242,06.11.2013,Westminster House,Catering Purchases,39.54,FARMHOUSE FAYRE (NEWPORT) LIMITED
2190,Revenue,Community Wellbeing & Social Care,5105632179,13.11.2013,40 Venner Avenue,Catering Purchases,19.84,FARMHOUSE FAYRE (NEWPORT) LIMITED
2191,Revenue,Community Wellbeing & Social Care,5105632183,08.11.2013,40 Venner Avenue,Catering Purchases,25.46,FARMHOUSE FAYRE (NEWPORT) LIMITED
2192,Revenue,Community Wellbeing & Social Care,5105635725,08.11.2013,40 Venner Avenue,Catering Purchases,30.06,FARMHOUSE FAYRE (NEWPORT) LIMITED
2193,Revenue,Community Wellbeing & Social Care,5105635726,08.11.2013,40 Venner Avenue,Catering Purchases,7.50,FARMHOUSE FAYRE (NEWPORT) LIMITED
2194,Revenue,Community Wellbeing & Social Care,5105636003,08.11.2013,40 Venner Avenue,Catering Purchases,27.14,FARMHOUSE FAYRE (NEWPORT) LIMITED
2195,Revenue,Community Wellbeing & Social Care,5105636004,08.11.2013,40 Venner Avenue,Catering Purchases,19.17,FARMHOUSE FAYRE (NEWPORT) LIMITED
2196,Revenue,Community Wellbeing & Social Care,5105633435,06.11.2013,40 Venner Avenue,Catering Purchases,28.06,FARMHOUSE FAYRE (NEWPORT) LIMITED
2197,Revenue,Community Wellbeing & Social Care,5105637127,20.11.2013,40 Venner Avenue,Catering Purchases,25.04,FARMHOUSE FAYRE (NEWPORT) LIMITED
2198,Revenue,Community Wellbeing & Social Care,5105638300,27.11.2013,40 Venner Avenue,Catering Purchases,31.21,FARMHOUSE FAYRE (NEWPORT) LIMITED
2199,Revenue,Community Wellbeing & Social Care,5105637381,27.11.2013,40 Venner Avenue,Catering Purchases,31.21,FARMHOUSE FAYRE (NEWPORT) LIMITED
2200,Revenue,Community Wellbeing & Social Care,5105637417,20.11.2013,Seagulls,Catering Purchases,15.74,FARMHOUSE FAYRE (NEWPORT) LIMITED
2201,Revenue,Community Wellbeing & Social Care,5105639075,29.11.2013,Seagulls,Catering Purchases,13.98,FARMHOUSE FAYRE (NEWPORT) LIMITED
2202,Revenue,Community Wellbeing & Social Care,5105635662,08.11.2013,Seagulls,Catering Purchases,13.23,FARMHOUSE FAYRE (NEWPORT) LIMITED
2203,Revenue,Community Wellbeing & Social Care,5105636102,13.11.2013,Overbrook,Catering Purchases,3.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2204,Revenue,Community Wellbeing & Social Care,5105636103,13.11.2013,Overbrook,Catering Purchases,6.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2205,Revenue,Community Wellbeing & Social Care,5105636104,13.11.2013,Overbrook,Catering Purchases,3.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2206,Revenue,Community Wellbeing & Social Care,5105636105,13.11.2013,Overbrook,Catering Purchases,3.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2207,Revenue,Community Wellbeing & Social Care,5105635667,08.11.2013,Overbrook,Catering Purchases,3.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2208,Revenue,Community Wellbeing & Social Care,5105635676,08.11.2013,Overbrook,Catering Purchases,3.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2209,Revenue,Community Wellbeing & Social Care,5105635684,08.11.2013,Overbrook,Catering Purchases,3.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2210,Revenue,Community Wellbeing & Social Care,5105635696,08.11.2013,Overbrook,Catering Purchases,3.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2211,Revenue,Community Wellbeing & Social Care,5105637409,20.11.2013,Overbrook,Catering Purchases,6.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2212,Revenue,Community Wellbeing & Social Care,5105637208,20.11.2013,Overbrook,Catering Purchases,10.90,FARMHOUSE FAYRE (NEWPORT) LIMITED
2213,Revenue,Community Wellbeing & Social Care,5105637209,20.11.2013,Overbrook,Catering Purchases,6.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2214,Revenue,Community Wellbeing & Social Care,5105637210,20.11.2013,Overbrook,Catering Purchases,3.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2215,Revenue,Community Wellbeing & Social Care,5105637211,20.11.2013,Overbrook,Catering Purchases,3.00,FARMHOUSE FAYRE (NEWPORT) LIMITED
2216,Revenue,Community Wellbeing & Social Care,5105635698,08.11.2013,The Laurels,Catering Purchases,25.16,FARMHOUSE FAYRE (NEWPORT) LIMITED
2217,Revenue,Community Wellbeing & Social Care,5105637538,20.11.2013,Adelaide Resource Centre,Catering Purchases,25.19,FARMHOUSE FAYRE (NEWPORT) LIMITED
2218,Revenue,Community Wellbeing & Social Care,5105637539,20.11.2013,Adelaide Resource Centre,Catering Purchases,9.28,FARMHOUSE FAYRE (NEWPORT) LIMITED
2219,Revenue,Community Wellbeing & Social Care,5105635071,04.11.2013,Adelaide Resource Centre,Catering Purchases,24.49,FARMHOUSE FAYRE (NEWPORT) LIMITED
2220,Revenue,Community Wellbeing & Social Care,5105635069,04.11.2013,Adelaide Resource Centre,Catering Purchases,15.81,FARMHOUSE FAYRE (NEWPORT) LIMITED
2221,Revenue,Community Wellbeing & Social Care,5105635236,06.11.2013,Adelaide Resource Centre,Catering Purchases,34.38,FARMHOUSE FAYRE (NEWPORT) LIMITED
2222,Revenue,Community Wellbeing & Social Care,5105635237,06.11.2013,Adelaide Resource Centre,Catering Purchases,15.35,FARMHOUSE FAYRE (NEWPORT) LIMITED
2223,Revenue,Community Wellbeing & Social Care,5105635224,06.11.2013,Adelaide Resource Centre,Catering Purchases,31.01,FARMHOUSE FAYRE (NEWPORT) LIMITED
2224,Revenue,Community Wellbeing & Social Care,5105630306,01.11.2013,Adelaide Resource Centre,Catering Purchases,43.82,FARMHOUSE FAYRE (NEWPORT) LIMITED
2225,Revenue,Community Wellbeing & Social Care,5105635661,08.11.2013,Adelaide Resource Centre,Catering Purchases,34.41,FARMHOUSE FAYRE (NEWPORT) LIMITED
2226,Revenue,Community Wellbeing & Social Care,5105636665,15.11.2013,Adelaide Resource Centre,Catering Purchases,15.40,FARMHOUSE FAYRE (NEWPORT) LIMITED
2227,Revenue,Community Wellbeing & Social Care,5105636667,15.11.2013,Adelaide Resource Centre,Catering Purchases,40.72,FARMHOUSE FAYRE (NEWPORT) LIMITED
2228,Revenue,Community Wellbeing & Social Care,5105636089,13.11.2013,Prison Library Service,Publications,637.46,FARNSWORTH
2229,Revenue,Childrens Services,5105637557,22.11.2013,Youth- Central Administration,Training,230.00,FEDERATION OF DETACHED YOUTH WK
2230,Revenue,Economy & Environment,5105637418,20.11.2013,Play Development,Operational Equipment,62.90,FINDEL EDUCATION LTD
2231,Revenue,Economy & Environment,5105637418,20.11.2013,Play Development,Operational Equipment,12.90,FINDEL EDUCATION LTD
2232,Revenue,Community Wellbeing & Social Care,5105634281,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",FIRBANK RESIDENTIAL CARE HOME
2233,Revenue,Community Wellbeing & Social Care,5105634281,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",FIRBANK RESIDENTIAL CARE HOME
2234,Revenue,Community Wellbeing & Social Care,5105638545,27.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,032.07",FIRBANK RESIDENTIAL CARE HOME
2235,Revenue,Community Wellbeing & Social Care,5105634281,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",FIRBANK RESIDENTIAL CARE HOME
2236,Revenue,Community Wellbeing & Social Care,5105634281,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",FIRBANK RESIDENTIAL CARE HOME
2237,Revenue,Community Wellbeing & Social Care,5105636129,13.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,869.25,FIRBANK RESIDENTIAL CARE HOME
2238,Revenue,Community Wellbeing & Social Care,5105636129,13.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",FIRBANK RESIDENTIAL CARE HOME
2239,Revenue,Community Wellbeing & Social Care,5105634281,06.11.2013,REDACTED PERSONAL DATA,Order Settlement,"1,622.60",FIRBANK RESIDENTIAL CARE HOME
2240,Revenue,Economy & Environment,5105637252,20.11.2013,Technical Fire Safety & Enforcement,Advertising & Publicity,100.00,FIRE PROTECTION ASSOCIATION
2241,Revenue,Community Wellbeing & Social Care,5105635723,08.11.2013,Workforce Development Schools,Training,"1,125.00",FIRE SAFE TRAINING (IW) LTD
2242,Revenue,Resources,5105635688,08.11.2013,Corporate Health & Safety,Professional Services,900.00,FIRE SAFE TRAINING (IW) LTD
2243,Revenue,Economy & Environment,5105637419,20.11.2013,Diversity & Workforce,Training,"5,590.00",FIRE SERVICE COLLEGE LTD
2244,Revenue,Economy & Environment,5105636668,15.11.2013,Diversity & Workforce,Training,242.00,FIRE SERVICE COLLEGE LTD
2245,Revenue,Community Wellbeing & Social Care,5105638248,27.11.2013,Integrated Community Equipment Service,Operational Equipment,95.00,FISC HEALTHCARE
2246,Revenue,Childrens Services,5105637903,22.11.2013,Purchased Fostering,Charges from Independent Providers,390.43,FIVE RIVERS CHILD CARE LTD
2247,Revenue,Childrens Services,5105638320,27.11.2013,Purchased Fostering,Charges from Independent Providers,"4,034.43",FIVE RIVERS CHILD CARE LTD
2248,Revenue,Childrens Services,5105636261,15.11.2013,Purchased Fostering,Charges from Independent Providers,"3,904.29",FIVE RIVERS CHILD CARE LTD
2249,Revenue,Childrens Services,5105636264,15.11.2013,Purchased Fostering,Charges from Independent Providers,"3,904.29",FIVE RIVERS CHILD CARE LTD
2250,Revenue,Childrens Services,5105636253,15.11.2013,Purchased Fostering,Charges from Independent Providers,"3,904.29",FIVE RIVERS CHILD CARE LTD
2251,Revenue,Childrens Services,5105636270,20.11.2013,Purchased Fostering,Charges from Independent Providers,"7,015.71",FIVE RIVERS CHILD CARE LTD
2252,Revenue,Childrens Services,5105636271,15.11.2013,Purchased Fostering,Charges from Independent Providers,"3,904.29",FIVE RIVERS CHILD CARE LTD
2253,Revenue,Childrens Services,5105630874,15.11.2013,Purchased Fostering,Charges from Independent Providers,"7,261.13",FIVE RIVERS CHILD CARE LTD
2254,Revenue,Childrens Services,5105630894,29.11.2013,Purchased Fostering,Charges from Independent Providers,"8,068.99",FIVE RIVERS CHILD CARE LTD
2255,Revenue,Childrens Services,5105630871,15.11.2013,Purchased Fostering,Charges from Independent Providers,"4,034.43",FIVE RIVERS CHILD CARE LTD
2256,Revenue,Childrens Services,5105630887,22.11.2013,Purchased Fostering,Charges from Independent Providers,"7,378.00",FIVE RIVERS CHILD CARE LTD
2257,Revenue,Childrens Services,5105630913,15.11.2013,Purchased Fostering,Charges from Independent Providers,"4,034.43",FIVE RIVERS CHILD CARE LTD
2258,Revenue,Childrens Services,5105632729,15.11.2013,Purchased Fostering,Charges from Independent Providers,"3,904.29",FIVE RIVERS CHILD CARE LTD
2259,Revenue,Childrens Services,5105630848,15.11.2013,Purchased Fostering,Charges from Independent Providers,"4,034.43",FIVE RIVERS CHILD CARE LTD
2260,Revenue,Childrens Services,5105630854,15.11.2013,Purchased Fostering,Charges from Independent Providers,"4,034.43",FIVE RIVERS CHILD CARE LTD
2261,Revenue,Childrens Services,5105635029,04.11.2013,Purchased Fostering,Charges from Independent Providers,-130.14,FIVE RIVERS CHILD CARE LTD
2262,Revenue,Childrens Services,5105636250,15.11.2013,Purchased Fostering,Charges from Independent Providers,"3,904.29",FIVE RIVERS CHILD CARE LTD
2263,Revenue,Childrens Services,5105636247,15.11.2013,Purchased Fostering,Charges from Independent Providers,"7,026.90",FIVE RIVERS CHILD CARE LTD
2264,Revenue,Childrens Services,5105636266,27.11.2013,Purchased Fostering,Charges from Independent Providers,"7,808.70",FIVE RIVERS CHILD CARE LTD
2265,Revenue,Childrens Services,5105636269,20.11.2013,Purchased Fostering,Charges from Independent Providers,"7,140.00",FIVE RIVERS CHILD CARE LTD
2266,Revenue,Childrens Services,5105636255,15.11.2013,Purchased Fostering,Charges from Independent Providers,"3,904.29",FIVE RIVERS CHILD CARE LTD
2267,Revenue,Childrens Services,5105637904,22.11.2013,Purchased Fostering,Charges from Independent Providers,"4,034.43",FIVE RIVERS CHILD CARE LTD
2268,Revenue,Economy & Environment,5105639098,29.11.2013,Rights of Way Operations,Vehicle Maintenance Costs,183.90,FLEET MOBILE TYRES (ISLE OF WIGHT)
2269,Revenue,Community Wellbeing & Social Care,5105639095,29.11.2013,Integrated Community Equipment Service,Vehicle Maintenance Costs,119.90,FLEET MOBILE TYRES (ISLE OF WIGHT)
2270,Revenue,Community Wellbeing & Social Care,5105639094,29.11.2013,Integrated Community Equipment Service,Vehicle Maintenance Costs,68.95,FLEET MOBILE TYRES (ISLE OF WIGHT)
2271,Revenue,Community Wellbeing & Social Care,5105639094,29.11.2013,Integrated Community Equipment Service,Vehicle Maintenance Costs,25.00,FLEET MOBILE TYRES (ISLE OF WIGHT)
2272,Revenue,Economy & Environment,5105639101,29.11.2013,Countryside Management,Vehicle Maintenance Costs,157.40,FLEET MOBILE TYRES (ISLE OF WIGHT)
2273,Revenue,Economy & Environment,5105631187,13.11.2013,Off-Street Parking Operations,Professional Services,49.95,FLEET MOBILE TYRES (ISLE OF WIGHT)
2274,Revenue,Community Wellbeing & Social Care,5105638488,29.11.2013,Newport Library,Property Services - Planned Maintenance,295.00,FLOOR DESIGN (IW) LTD
2275,Revenue,Resources,5105638479,27.11.2013,Administrative Buildings,Property Services - Day to day maintenance,825.00,FLOOR DESIGN (IW) LTD
2276,Revenue,Economy & Environment,5105636987,15.11.2013,Newport Harbour Account,Payment to Private Contractors,461.65,FOLLY VENTURES
2277,Revenue,Economy & Environment,5105637594,20.11.2013,WW Landscape Partnership,Payment to Private Contractors,"2,100.00",FOOTPRINT TRUST
2278,Revenue,Resources,5105635022,06.11.2013,Coroner,Post Mortem Fees,495.00,FORENSICS LTD T/A ROAR FORENSICS
2279,Revenue,Resources,5105635022,06.11.2013,Coroner,Post Mortem Fees,15.00,FORENSICS LTD T/A ROAR FORENSICS
2280,Revenue,Resources,5105638519,27.11.2013,Coroner,Post Mortem Fees,320.00,FORENSICS LTD T/A ROAR FORENSICS
2281,Revenue,Resources,5105638519,27.11.2013,Coroner,Post Mortem Fees,15.00,FORENSICS LTD T/A ROAR FORENSICS
2282,Revenue,Childrens Services,5105634005,01.11.2013,Fostering Team,Professional Services,146.25,FOSTER TALK LTD
2283,Revenue,Childrens Services,5105634005,01.11.2013,Fostering Team,Professional Services,260.00,FOSTER TALK LTD
2284,Revenue,Childrens Services,5105634005,01.11.2013,Fostering Team,Professional Services,89.60,FOSTER TALK LTD
2285,Revenue,Childrens Services,5105634005,01.11.2013,Fostering Team,Professional Services,9.60,FOSTER TALK LTD
2286,Revenue,Childrens Services,5105633138,06.11.2013,Fostering Team,Professional Services,227.50,FOSTER TALK LTD
2287,Revenue,Childrens Services,5105633137,06.11.2013,Fostering Team,Professional Services,227.50,FOSTER TALK LTD
2288,Revenue,Childrens Services,5105633138,06.11.2013,Fostering Team,Professional Services,178.75,FOSTER TALK LTD
2289,Revenue,Childrens Services,5105633137,06.11.2013,Fostering Team,Professional Services,195.00,FOSTER TALK LTD
2290,Revenue,Childrens Services,5105633138,06.11.2013,Fostering Team,Professional Services,99.20,FOSTER TALK LTD
2291,Revenue,Childrens Services,5105633137,06.11.2013,Fostering Team,Professional Services,99.20,FOSTER TALK LTD
2292,Revenue,Childrens Services,5105635175,06.11.2013,Fostering Team,Professional Services,89.60,FOSTER TALK LTD
2293,Revenue,Childrens Services,5105635166,06.11.2013,Fostering Team,Professional Services,227.50,FOSTER TALK LTD
2294,Revenue,Childrens Services,5105635164,06.11.2013,Fostering Team,Professional Services,357.50,FOSTER TALK LTD
2295,Revenue,Childrens Services,5105635165,06.11.2013,Fostering Team,Professional Services,325.00,FOSTER TALK LTD
2296,Revenue,Childrens Services,5105635165,06.11.2013,Fostering Team,Professional Services,130.00,FOSTER TALK LTD
2297,Revenue,Childrens Services,5105635164,06.11.2013,Fostering Team,Professional Services,130.00,FOSTER TALK LTD
2298,Revenue,Childrens Services,5105635166,06.11.2013,Fostering Team,Professional Services,154.37,FOSTER TALK LTD
2299,Revenue,Childrens Services,5105635166,06.11.2013,Fostering Team,Professional Services,32.80,FOSTER TALK LTD
2300,Revenue,Childrens Services,5105635164,06.11.2013,Fostering Team,Professional Services,32.80,FOSTER TALK LTD
2301,Revenue,Childrens Services,5105635175,06.11.2013,Fostering Team,Professional Services,130.00,FOSTER TALK LTD
2302,Revenue,Childrens Services,5105635175,06.11.2013,Fostering Team,Professional Services,211.25,FOSTER TALK LTD
2303,Revenue,Childrens Services,5105635165,06.11.2013,Fostering Team,Professional Services,33.60,FOSTER TALK LTD
2304,Revenue,Childrens Services,5105635165,06.11.2013,Fostering Team,Professional Services,41.00,FOSTER TALK LTD
2305,Revenue,Childrens Services,5105635164,06.11.2013,Fostering Team,Professional Services,40.40,FOSTER TALK LTD
2306,Revenue,Childrens Services,5105635166,06.11.2013,Fostering Team,Professional Services,42.90,FOSTER TALK LTD
2307,Revenue,Economy & Environment,5105634176,06.11.2013,Westridge Squash Courts,Payment to Private Contractors,40.00,FOUR SEASONS CLEANING SERVICES LTD
2308,Revenue,Economy & Environment,5105634178,06.11.2013,The Heights,Payment to Private Contractors,140.00,FOUR SEASONS CLEANING SERVICES LTD
2309,Revenue,Community Wellbeing & Social Care,5105637513,20.11.2013,Core Programmes,Training,350.00,FRAN OSMAN-NEWBURY LTD
2310,Revenue,Community Wellbeing & Social Care,5105638530,27.11.2013,Transforming Social Care,Catering Purchases,115.00,FRENCH FRANKS
2311,Revenue,Childrens Services,5105638600,27.11.2013,In-house Fostering,Catering Purchases,60.00,FRENCH FRANKS
2312,Revenue,Childrens Services,5105638599,27.11.2013,In-house Fostering,Catering Purchases,60.00,FRENCH FRANKS
2313,Revenue,Economy & Environment,5105638608,27.11.2013,Fire Technical Support,Vehicle Fuel Costs,86.12,FRESHWATER GARAGES LTD
2314,Revenue,Economy & Environment,5105636950,15.11.2013,Medina Leisure Centre,Payment to Private Contractors,153.70,FUGRO EMU LTD
