Economy,Region,Country,GDP_2010,country,Country code,Pop_2010,Location_trimmed,Location,numeric code,LE_2010
Mozambique,Sub-Saharan Africa,Mozambique,9274448731.91612,Mozambique,508.0,24321.457,Mozambique,         Mozambique,508.0,54.63
Myanmar,East Asia & Pacific,Myanmar,..,Myanmar,104.0,51733.013,Myanmar,         Myanmar,104.0,65.64
Namibia,Sub-Saharan Africa,Namibia,11065912279.3816,Namibia,516.0,2193.643,Namibia,         Namibia,516.0,64.34
Nepal,South Asia,Nepal,16010389261.745,Nepal,524.0,26875.91,Nepal,            Nepal,524.0,69.03
Netherlands,Europe & Central Asia,Netherlands,772090789473.684,Netherlands,528.0,16631.571,Netherlands,         Netherlands,528.0,81.31
New Caledonia,East Asia & Pacific,New Caledonia,..,New Caledonia,540.0,246.345,New Caledonia,         New Caledonia,540.0,76.19
New Zealand,East Asia & Pacific,New Zealand,143246762589.928,New Zealand,554.0,4369.027,New Zealand,         New Zealand,554.0,81.56
Nicaragua,Latin America & Caribbean,Nicaragua,8586295846.08302,Nicaragua,558.0,5737.722,Nicaragua,         Nicaragua,558.0,74.47
Niger,Sub-Saharan Africa,Niger,5718589550.16349,Niger,562.0,16291.99,Niger,         Niger,562.0,60.65
Nigeria,Sub-Saharan Africa,Nigeria,229507890739.083,Nigeria,566.0,159424.742,Nigeria,         Nigeria,566.0,52.29
Northern Mariana Islands,East Asia & Pacific,Northern Mariana Islands,..,Northern Mariana Islands,580.0,53.86,,,,
Norway,Europe & Central Asia,Norway,421236092715.2319,Norway,578.0,4891.251,Norway,         Norway,578.0,81.32
Oman,Middle East & North Africa,Oman,58813004375.26,Oman,512.0,2943.747,Oman,         Oman,512.0,76.33
Pakistan,South Asia,Pakistan,177406854514.885,Pakistan,586.0,170043.918,Pakistan,            Pakistan,586.0,65.88
Palau,East Asia & Pacific,Palau,196543326.07974,Palau,585.0,20.47,,,,
Panama,Latin America & Caribbean,Panama,26589600000,Panama,591.0,3620.506,Panama,         Panama,591.0,77.32
Papua New Guinea,East Asia & Pacific,Papua New Guinea,9480047958.80839,Papua New Guinea,598.0,6847.517,Papua New Guinea,         Papua New Guinea,598.0,62.31
Paraguay,Latin America & Caribbean,Paraguay,20028375553.9077,Paraguay,600.0,6209.877,Paraguay,         Paraguay,600.0,72.74
Peru,Latin America & Caribbean,Peru,157609814184.397,Peru,604.0,29373.644,Peru,         Peru,604.0,74.15
Philippines,East Asia & Pacific,Philippines,199589447424.074,Philippines,608.0,93038.902,Philippines,         Philippines,608.0,67.99
Poland,Europe & Central Asia,Poland,469736810690.719,Poland,616.0,38574.682,Poland,         Poland,616.0,77.14
Portugal,Europe & Central Asia,Portugal,227446710526.316,Portugal,620.0,10584.837,Portugal,         Portugal,620.0,80.55
Puerto Rico,Latin America & Caribbean,Puerto Rico,97147300000,Puerto Rico,630.0,3709.671,Puerto Rico,         Puerto Rico,630.0,79.22
Qatar,Middle East & North Africa,Qatar,125122249141.251,Qatar,634.0,1765.513,Qatar,         Qatar,634.0,77.89
Romania,Europe & Central Asia,Romania,164435979735.045,Romania,642.0,20298.838,Romania,         Romania,642.0,74.46
Russian Federation,Europe & Central Asia,Russian Federation,1524916698233.31,Russian Federation,643.0,143158.099,Russian Federation,         Russian Federation,643.0,69.83
Rwanda,Sub-Saharan Africa,Rwanda,5624506157.41067,Rwanda,646.0,10293.669,Rwanda,         Rwanda,646.0,63.14
